book_name,book_author,book_description,book_genre,book_points
How to Be the Employee Your Company Can't Live Without, Shepard Glenn (EN),"In his previous books, noted management consultant Glenn Shepard showed managers how to get the most from their workforce. Now, in How to Be the Employee Your Company Can't Live Without, Shepard shows employees how to get the most from themselves, their jobs, and their careers. This practical, actionable guide explains what today's managers are really looking for in employees, what they place the highest value on, and how employees can surpass expectations to gain raises and promotions. Based on common-sense principles that will work for anyone in any career, this practical, real-world guide shows you how to: Answer the one question that will immediately make you a highly valued employee Excel in your job by simply showing your employer how much you care about your job Create job security by earning a reputation as the most reliable person around Learn the right way to make mistakes Develop the kind of professional work ethic that gets you promoted Be the problem-solver companies are looking for And take control of your professional destiny! Millions of Americans feel stuck in dead-end jobs that are getting them nowhere. Often they think, despite their best efforts, that no one will notice or reward their success. How to Be the Employee Your Company Can't Live Without shows you how to excel at the office and garner the recognition you've worked hard to earn. Master these principles and apply them every day at work and unlimited success will be your reward.", Иностранная литература,0
Low-Calorie Dieting For Dummies, McQuillan Susan (EN),"Break your bad habits and start enjoying a low-cal lifestyle! Want to lose weight and keep it off for good? This no-nonsense guide shows you how to consume fewer calories than you burn, providing a delicious, easy, and safe low-calorie plan you can follow for life! You'll find tools to improve your eating and exercise habits, cope with stress and boredom, assess your progress, and live healthier and happier. Discover how to: Understand your metabolism. Set realistic, attainable goals. Maintain a healthy weight. Stock a low-cal kitchen. Eat right with simple, scrumptious, low-calorie recipes. Stay motivated long-term. Find outside support. Order your copy today!", Иностранная литература,0
Professional LAMP, Owens Morgan (EN),"The combination of Linux, Apache, MySQL, and PHP is popular because of interaction, flexibility, customization, and-most importantly-the cost effectiveness of its components Helps LAMP professionals take their skills to the next level with in-depth discussions of OOP; extensions of PHP such as PEAR, GD, XML, and CURL; improving site security; and advanced tools available to the coder Those proficient in other languages such as Java, C++, Perl and ASP will find this guide invaluable when transitioning to the LAMP environment The Web site includes sample scripts created in the course of each chapter, and several applications that can be modified and reused", Иностранная литература,0
Fundamentals of Semiconductor Manufacturing and Process Control, May Gary S. (EN),"A practical guide to semiconductor manufacturing from process control to yield modeling and experimental design Fundamentals of Semiconductor Manufacturing and Process Control covers all issues involved in manufacturing microelectronic devices and circuits, including fabrication sequences, process control, experimental design, process modeling, yield modeling, and CIM/CAM systems. Readers are introduced to both the theory and practice of all basic manufacturing concepts. Following an overview of manufacturing and technology, the text explores process monitoring methods, including those that focus on product wafers and those that focus on the equipment used to produce wafers. Next, the text sets forth some fundamentals of statistics and yield modeling, which set the foundation for a detailed discussion of how statistical process control is used to analyze quality and improve yields. The discussion of statistical experimental design offers readers a powerful approach for systematically varying controllable process conditions and determining their impact on output parameters that measure quality. The authors introduce process modeling concepts, including several advanced process control topics such as run-by-run, supervisory control, and process and equipment diagnosis. Critical coverage includes the following: * Combines process control and semiconductor manufacturing * Unique treatment of system and software technology and management of overall manufacturing systems * Chapters include case studies, sample problems, and suggested exercises * Instructor support includes electronic copies of the figures and an instructor's manual Graduate-level students and industrial practitioners will benefit from the detailed exami?nation of how electronic materials and supplies are converted into finished integrated circuits and electronic products in a high-volume manufacturing environment. An Instructor's Manual presenting detailed solutions to all the problems in the book is available from the Wiley editorial department. An Instructor Support FTP site is also available.", Иностранная литература,0
Wrox's ASP.NET 2.0 Visual Web Developer 2005 Express Edition Starter Kit, Homer Alex (EN),"This Starter Kit serves as an entry-level introduction centered around prebuilt projects that developers can easily deploy and customize for their own sites Explains how to build good basic Web sites, including design and architecture, for users who plan to build more complex sites in the future Details the key site features that beginners like to implement, including catalogs, shopping carts, images, and secure site sections The authors use very little code, but where coding is needed, they feature the simple Visual Basic language The CD-ROM includes Visual Web Developer 2005 Express Edition", Иностранная литература,0
Electrokinetic and Colloid Transport Phenomena, Masliyah Jacob H. (EN),"A new, definitive perspective of electrokinetic and colloid transport processes Responding to renewed interest in the subject of electrokinetics, Electrokinetic and Colloid Transport Phenomena is a timely overview of the latest research and applications in this field for both the beginner and the professional. An outgrowth of an earlier text (by coauthor Jacob Masliyah), this self-contained reference provides an up-to-date summary of the literature on electrokinetic and colloid transport phenomena as well as direct pedagogical insight into the development of the subject over the past several decades. A distinct departure from standard colloid science monographs, Electrokinetic and Colloid Transport Phenomena presents the most salient features of the theory in a simple and direct manner, allowing the book to serve as a stepping-stone for further learning and study. In addition, the book uniquely discusses numerical simulation of electrokinetic problems and demonstrates the use of commercial finite element software for solving these multiphysics problems. Among the topics covered are: * Mathematical preliminaries * Colloidal systems * Electrostatics and application of electrostatics * Electric double layer * Electroosmosis and streaming potential * Electrophoresis and sedimentation potential * London-Van der Waals forces and the DLVO theory * Coagulation and colloid deposition * Numerical simulation of electrokinetic phenomena * Applications of electrokinetic phenomena Because this thorough reference does not require advanced mathematical knowledge, it enables a graduate or a senior undergraduate student approaching the subject for the first time to easily interpret the theories. On the other hand, the application of relevant mathematical principles and the worked examples are extremely useful to established researchers and professionals involved in a wide range of areas, including electroosmosis, streaming potential, electrophoretic separations, industrial practices involving colloids and complex fluids, environmental remediation, suspensions, and microfluidic systems.", Иностранная литература,0
Quicken All-in-One Desk Reference For Dummies, Perry Gail (EN),"Quicken is the #1 personal finance software on the market, with greater than 70 percent retail market share and 16 million active users This book features eight minibooks comprising nearly 750 pages-all the information people need to get the most out of the latest Quicken release, get their finances under control, start building a nest egg, and pay less to the IRS The only book on the market to include coverage on Quicken Premier Home & Business Minibook topics include personal finance basics, an introduction to Quicken, household finances, planning ahead and saving, tracking investments, retirement planning, taxes, and managing small business finances Quicken books are consistent top sellers, with more than 900,000 copies of Quicken For Dummies sold in all in all editions", Иностранная литература,0
IBS Relief, Vallis T. Michael (EN),"Take control of IBS so IBS doesn't take control of your life IBS Relief, Second Edition is an extensively updated, hands-on guide to help you manage your symptoms and limit the frequency, intensity, and duration of irritable bowel syndrome (IBS) episodes. Written by a doctor, a dietitian, and a psychologist, this guide gives you a multidisciplinary approach encompassing every proven strategy for managing IBS, including new drug therapies and stress management techniques. This book won't confuse you with medical terminology--IBS is confounding enough. Instead, the book contains questionnaires, lists, diaries, stress and food tolerance tests, and other tools to help you determine the pattern of your symptoms, identify triggers, and take appropriate action. You'll learn how to manage your problem based on your specific symptoms. Approaches include: * A three-step process for managing irritable bowel through healthy eating * Recommended diet adjustments for the six most common IBS symptoms * Three stress-management strategies, including specific techniques for calming the body, calming the mind, and confronting stress * Three steps to controlling pain This book gives you the tools, the techniques, and the information you need to make specific lifestyle and diet changes that can bring real relief.", Иностранная литература,0
Risk Management Solutions for Sarbanes-Oxley Section 404 IT Compliance, Quarterman John S. (EN),"Examines how risk management security technologies must prevent virus and computer attacks, as well as providing insurance and processes for natural disasters such as fire, floods, tsunamis, terrorist attacks Addresses four main topics: the risk (severity, extent, origins, complications, etc.), current strategies, new strategies and their application to market verticals, and specifics for each vertical business (banks, financial institutions, large and small enterprises) A companion book to Manager's Guide to the Sarbanes-Oxley Act (0-471-56975-5) and How to Comply with Sarbanes-Oxley Section 404 (0-471-65366-7)", Иностранная литература,0
Overcoming Dyslexia For Dummies, Wood Tracey (EN),"Includes tips and strategies for kids, teens, and adults with dyslexia Understand what dyslexia is, assess schools and programs, and help your child succeed Does your child mix up d's and b's? Does he or she have trouble reading? If so, the cause may be dyslexia. But don't worry -- these days, there are many ways to overcome dyslexia. This hands-on guide leads you step by step through your options -- and explains how anyone with dyslexia can achieve success in school and life. Discover how to * Recognize the symptoms of dyslexia * Understand diagnostic test results * Set up an Individualized Education Program (IEP) * Work effectively with teachers * Improve your child?s reading skills", Иностранная литература,0
Poker Face of Wall Street, Brown Aaron (EN),"Wall Street is where poker and modern finance?and the theory behind these &quotegames&quote?clash head on. In both worlds, real risk means real money is made or lost in a heart beat, and neither camp is always rational with the risk it takes. As a result, business and financial professionals who want to use poker insights to improve their job performance will find this entertaining book a &quotemust read.&quote So will poker players searching for an edge in applying the insights of risk-takers on Wall Street.", Иностранная литература,0
Never Cold Call Again, Rumbauskas Frank J. (EN),"&quoteCold calling is the lowest percentage of sales call success. If you invest the same amount of time in reading this book as you do in cold calling, your success percentage and your income will skyrocket.&quote- Jeffrey Gitomer, Author, Little Red Book of Selling &quoteYou can never get enough of a good thing! Read this book and USE its contents!&quote- Anthony Parinello, Author, Selling to Vito and Stop Cold Calling Forever Salespeople everywhere are learning the hard way that cold calling doesn't work anymore. Yet, millions of salespeople are stuck in the past, using twentieth-century sales techniques to try to lure twenty-first century customers. There has to be an easier way to find prospects - and there is. Today's most successful salespeople are using modern technology to bring prospects to them, rather than fishing for prospects over the phone or knocking on doors. Never Cold Call Again offers practical, step-by-step alternatives to traditional cold calling for salespeople, small business owners, and independent professionals who are actively building a client base. The Information Age presents endless opportunities for finding leads without cold calling. In fact, Frank Rumbauskas s system brings prospects to the salesperson, rather than the other way around. Readers will find unbeatable sales advice on effective self-promotion, generating endless leads, how to win prospects using e-mail, prospecting on the Web, networking, developing effective proposals, and much more. Frank J. Rumbauskas Jr. (Phoenix, AZ) provides marketing consultation and coaching services to firms who wish to provide qualified leads to their sales force rather than have them spend productive work time cold calling. He is the author of the self-published hit Cold Calling Is a Waste of Time (0-9765163-0-6).", Иностранная литература,0
Jack Russell Terrier, Brown Catherine Romaine (EN),"Your Happy Healthy PetThe authoritative information and advice you need, illustrated throughout with full-color photographs--now revised and redesigned to be even more reader-friendly!Jack Russell Terriers (JRTs) demand a lot of attention and activity, but offer a lot of affection and constant amusement. This guide fills you in on the breed's needs and attributes, covering:* The JRT's irrepressible hunting dog instincts and character* Tips for selecting a JRT puppy or adult dog* Things you'll need to make your pup one of the family* Pointers on feeding, grooming, and healthcare* Training and housetraining your JRT* Bonus chapters available on companion Web siteSingle-minded, energetic, and intent, the JRT may try your patience. But then she does her canine comedy or snuggles up affectionately and captures your heart.", Иностранная литература,0
Introductory Stochastic Analysis for Finance and Insurance, Lin X. Sheldon (EN),"Incorporates the many tools needed for modeling and pricing in finance and insurance Introductory Stochastic Analysis for Finance and Insurance introduces readers to the topics needed to master and use basic stochastic analysis techniques for mathematical finance. The author presents the theories of stochastic processes and stochastic calculus and provides the necessary tools for modeling and pricing in finance and insurance. Practical in focus, the book's emphasis is on application, intuition, and computation, rather than theory. Consequently, the text is of interest to graduate students, researchers, and practitioners interested in these areas. While the text is self-contained, an introductory course in probability theory is beneficial to prospective readers. This book evolved from the author's experience as an instructor and has been thoroughly classroom-tested. Following an introduction, the author sets forth the fundamental information and tools needed by researchers and practitioners working in the financial and insurance industries: * Overview of Probability Theory * Discrete-Time stochastic processes * Continuous-time stochastic processes * Stochastic calculus: basic topics The final two chapters, Stochastic Calculus: Advanced Topics and Applications in Insurance, are devoted to more advanced topics. Readers learn the Feynman-Kac formula, the Girsanov's theorem, and complex barrier hitting times distributions. Finally, readers discover how stochastic analysis and principles are applied in practice through two insurance examples: valuation of equity-linked annuities under a stochastic interest rate environment and calculation of reserves for universal life insurance. Throughout the text, figures and tables are used to help simplify complex theory and pro-cesses. An extensive bibliography opens up additional avenues of research to specialized topics. Ideal for upper-level undergraduate and graduate students, this text is recommended for one-semester courses in stochastic finance and calculus. It is also recommended as a study guide for professionals taking Causality Actuarial Society (CAS) and Society of Actuaries (SOA) actuarial examinations.", Иностранная литература,0
Commitment and Healing, Richard A. Isay M.D. (EN),"&quoteWhat's love got to do with it? Everything, according to Richard Isay's informed and illuminating look at the role of romance in modern gay life. I highly recommend this book for people of any generation and partnership status.&quote--Dean H. Hamer, Ph.D., author of The Science of Desire and The God Gene&quoteRichard Isay offers something far better than simple bromides and false hope. In this book, he challenges us with a provocative, illuminating, and ultimately hopeful look at ourselves and explains how those of us who yearn to love and be loved (and who doesn't?) can best find happiness and healing in a committed relationship.&quote--Eric Marcus, author of The Male Couple's Guide and Together Forever&quoteMany gay men (and others, too) are likely to find this book exceptionally interesting and helpful. In a series of vividly illuminating case histories and with a psychoanalyst's depth and clarity of insight, Richard Isay lucidly explains why gay men have particular difficulty in establishing and sustaining loving relationships and how they might sensibly improve their chances of doing so.&quote--Harry G. Frankfurt, Ph.D., author of On Bullshit and The Reasons of Love&quoteRichard Isay's portrayals of gay men's lives are likely to be controversial. Isay is not the stereotypical psychoanalyst who sits quietly while his patients ramble--and we're all the better for that. He has something to say and what he says is worth hearing. This provocative book should be read by anyone who yearns for but hasn't yet found real love.&quote--William Rubenstein, Founding Director of the Williams Institute on Sexual Orientation Law and former Director of the ACLU Lesbian & Gay Rights Project&quoteBased on Dr. Isay's three decades of experience working with gay men in therapy, this is a deeply thoughtful study of the difficulties gay men may experience with falling and staying in love. For a gay man, reading this book may cause him to revisit some dark places along his own life's journey, but it will also give him a glimpse of the self-affirmation and capacity for change that are the goals of gay-positive psychotherapy.&quote--Simon LeVay, Ph.D., author of Human Sexuality and Queer Science&quoteIndispensable insights from America's wisest observer of gay relationships.&quote--Charles Kaiser, author of The Gay Metropolis&quoteGay people seek the freedom to marry for the same mix of reasons as non-gay people, and for most, love and commitment are central. Drawing on his exceptional expertise and decades of stories from his patients, Richard Isay explores the challenges and value of romantic love--how to overcome our pasts and enrich our present lives at home--as we build a future of greater equality and inclusion in society.&quote--Evan Wolfson, author of Why Marriage Matters", Иностранная литература,0
Information Revolution, Miller Gloria J. (EN),"A strategic model for identifying, evaluating, and improving information use&quoteFundamentally changes how you look at the role of information technology and takes it to the leadership level, which is the only way for business performance to be maximized in this global economy.&quote--Ron Milton, Executive Vice President, Computerworld&quoteInformation Revolution is truly a must-read for those who generate, support, and make decisions for their respective organizations. By the way, that would be everybody.&quote--Bob Schwartz, Vice President and Chief Information Officer,Panasonic Corporation of North America&quoteAs this book clearly describes, information management advances both through evolution and intelligent design. The ideas herein will help any organization avoid extinction!&quote--Thomas H. Davenport, President's Distinguished Professor and Director of Research, Babson College&quoteThis model captures the best practices from the early stage of Business Intelligence development through the most sophisticated environments where the value and nature of information is unquestioned. All of us should strive to reach the final level. And now we have the ultimate guide to help us get there.&quote--Claudia Imhoff, President, Intelligent Solutions, Inc.&quoteManaging a successful Business Intelligence effort requires a long-term view and this means leaders must have a methodology to guide them as they navigate their organization through the BI evolution. Information Revolution provides the prag-matic road map all executives can understand and follow.&quote--Irving Tyler, Chief Information Officer, Quaker Chemical Corporation&quoteInformation Revolution is the perfect blend of 'what,' 'how,' and especially 'why.' This book is a must-read for those driven to excel in this information-based world, instead of being another 'me, too' along for the ride.&quote--Bruce Barnes, former chief information officer, Nationwide Financial Services&quoteInformation Revolution provides a powerful framework for assessing the current state of your company's systems and its decision making capabilities. It then presents a clear process for moving your systems and your company toward an adaptive and innovative enterprise.&quote--Michael Hugos, Chief Information Officer, Network Services Company", Иностранная литература,0
Photonics and Lasers, Quimby Richard S. (EN),"An introduction to photonics and lasers that does not rely on complex mathematics This book evolved from a series of courses developed by the author and taught in the areas of lasers and photonics. This thoroughly classroom-tested work fills a unique need for students, instructors, and industry professionals in search of an introductory-level book that covers a wide range of topics in these areas. Comparable books tend to be aimed either too high or too low, or they cover only a portion of the topics that are needed for a comprehensive treatment. Photonics and Lasers is divided into four parts: * Propagation of Light * Generation and Detection of Light * Laser Light * Light-Based Communication The author has ensured that complex mathematics does not become an obstacle to understanding key physical concepts. Physical arguments and explanations are clearly set forth while, at the same time, sufficient mathematical detail is provided for a quantitative understanding. As an additional aid to readers who are learning to think symbolically, some equations are expressed in words as well as symbols. Problem sets are provided throughout the book for readers to test their knowledge and grasp of key concepts. A solutions manual is also available for instructors. Finally, the detailed bibliography leads readers to in-depth explorations of particular topics. The book's topics, lasers and photonics, are often treated separately in other texts; however, the author skillfully demonstrates their natural synergy. Because of the combined coverage, this text can be used for a two-semester course or a one-semester course emphasizing either lasers or photonics. This is a perfect introductory textbook for both undergraduate and graduate students, additionally serving as a practical reference for engineers in telecommunications, optics, and laser electronics.", Иностранная литература,0
